0 
//Type 	 Slot 	 Skill 	 Width 	 Height 	 HaveSerial 	 HaveOption 	 DropItem 	 Name 						Level 	 DamageMin 	 DamageMax 	 AttackSpeed 	 Durability 	 MagicDurability 	 MagicDamageRate 	 ReqLevel 	 ReqStrength 	 ReqDexterity 	 ReqEnergy 	 ReqVitality 	 ReqLeadership 	DW 	 DK 	 FE 	 MG 	 DL 	 SU 	 RF 	 GL 	 RW 	 SL 	 GC
166 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Blue Eye Elf Armor"				150 	 229 		 0 		 100 		 1000 		 39 		 87 		 0 		 0 		 0 		0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
167 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Blue Eye Summoner Armor"			150 	 222 		 0 		 100 		 1000 		 38 		 13 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 
168 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Blue Eye Magic Armor"				150 	 248 		 0 		 100 		 1000 		 143 		 58 		 0 		 0 		 0 		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
169 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Blue Eye Lord Armor"				150 	 226 		 0 		 100 		 1000 		 65 		 17 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 
170 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Blue Eye Fighter Armor"			150 	 231 		 0 		 100 		 1000 		 81 		 0 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 
171 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Blue Eye Lancer Armor"			150 	 212 		 0 		 100 		 1000 		 65 		 65 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 
172 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Blue Eye Elf Armor"				150 	 155 		 0 		 100 		 1000 		 14 		 28 		 154 		 0 		 0 		0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
173 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Blue Eye Magic Armor"				150 	 245 		 0 		 100 		 1000 		 35 		 32 		 157 		 0 		 0 		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
174 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Slayer Red Wing Armor"			11 	 9 		 0 		 30 		 0 		 0 		 80 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
175 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Slayer Ancient Armor"				29 	 16 		 0 		 40 		 0 		 0 		 110 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
176 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Slayer Demonic Armor"				60 	 35 		 0 		 60 		 0 		 30 		 120 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
177 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Night Wing Armor"				127 	 70 		 0 		 70 		 0 		 30 		 125 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
178 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Fidelity Armor"				133 	 77 		 0 		 86 		 380 		 32 		 130 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 2 	 0 
179 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Trace Armor"					149 	 86 		 0 		 90 		 400 		 33 		 135 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 
180 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Bloodangel Slayer Armor"			150 	 94 		 0 		 100 		 400 		 51 		 174 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 
181 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Darkangel Slayer Armor"			150 	 104 		 0 		 100 		 600 		 51 		 174 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 
182 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Holyangel Slayer Armor"			150 	 154 		 0 		 100 		 800 		 51 		 174 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 	 0 
183 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Soul Slayer Armor"				150 	 199 		 0 		 100 		 900 		 51 		 174 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 
184 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Blue Eye Slayer Armor"			150 	 244 		 0 		 100 		 1000 		 51 		 174 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 
185 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Blue Eye Slayer Armor"			150 	 289 		 0 		 100 		 1100 		 51 		 174 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 
186 	 3 	 0 	 2 	 2 		 1 		 1 		 0 		 "Slayer Ancient Armor"				32 	 30 		 0 		 255 		 1 		 0 		 0 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
187 	 3 	 0 	 2 	 2 		 1 		 1 		 0 		 "Slayer Demonic Armor"				50 	 40 		 0 		 255 		 150 		 0 		 0 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
188 	 3 	 0 	 2 	 2 		 1 		 1 		 0 		 "Slayer Demonic Armor(Bound)"			50 	 51 		 0 		 100 		 0 		 50 		 50 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 	 0 
189 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Silver Heart Knight Armor"			150 	 294 		 0 		 100 		 1100 		 174 		 51 		 0 		 0 		 0 		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
190 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Silver Heart Wizard Armor"			150 	 262 		 0 		 100 		 1100 		 46 		 15 		 0 		 0 		 0 		4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
191 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Silver Heart Elf Armor"			150 	 274 		 0 		 100 		 1100 		 39 		 87 		 0 		 0 		 0 		0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
192 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Silver Heart Summoner Armor"			150 	 267 		 0 		 100 		 1100 		 38 		 13 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 
193 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Silver Heart Magic Armor"			150 	 293 		 0 		 100 		 1100 		 143 		 58 		 0 		 0 		 0 		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
194 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Silver Heart Lord Armor"			150 	 271 		 0 		 100 		 1100 		 65 		 17 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 
195 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Silver Heart Fighter Armor"			150 	 276 		 0 		 100 		 1100 		 81 		 0 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 
196 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Silver Heart Lancer Armor"			150 	 257 		 0 		 100 		 1100 		 65 		 65 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 
197 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Silver Heart Elf Armor"			150 	 200 		 0 		 100 		 1100 		 14 		 28 		 154 		 0 		 0 		0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
198 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Silver Heart Magic Armor"			150 	 290 		 0 		 100 		 1100 		 35 		 32 		 157 		 0 		 0 		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
199 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Silver Heart Rune Wizard Armor"		150 	 267 		 0 		 100 		 1100 		 40 		 14 		 125 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 
200 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Blood Angel Knight Armor (Conviction)"	150 	 103 		 0 		 100 		 400 		 0 		 22 		 107 		 0 		 0 		0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
201 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Dark Angel Knight Armor (Conviction)"		150 	 128 		 0 		 100 		 600 		 0 		 22 		 107 		 0 		 0 		0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
202 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Holy Angel Knight Armor (Conviction)"		150 	 178 		 0 		 100 		 800 		 0 		 22 		 107 		 0 		 0 		0 	 3 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
203 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Soul Knight Armor (Conviction)"		150 	 222 		 0 		 100 		 900 		 0 		 22 		 107 		 0 		 0 		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
204 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Blue Eye Knight Armor (Conviction)"		150 	 267 		 0 		 100 		 1000 		 0 		 22 		 107 		 0 		 0 		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
205 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Silver Heart Knight Armor (Conviction)"	150 	 312 		 0 		 100 		 1100 		 0 		 22 		 107 		 0 		 0 		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
206 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Leather Gunner Armor"				10 	 10 		 0 		 30 		 0 		 44 		 18 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 
207 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Scaled Gunner Armor"				25 	 18 		 0 		 40 		 0 		 37 		 20 		 46 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 
208 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Light Plate Gunner Helmet"			40 	 35 		 0 		 42 		 0 		 65 		 38 		 76 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 
209 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Frere Armor"					100 	 55 		 0 		 68 		 0 		 66 		 40 		 76 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 
210 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Titan Gunner Armor"				110 	 84 		 0 		 86 		 380 		 62 		 50 		 98 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 2 
211 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Lazy Wind Gunner Armor"			140 	 92 		 0 		 90 		 400 		 54 		 44 		 88 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 
212 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Blood Angel Gun Crusher Armor"		150 	 76 		 0 		 100 		 400 		 60 		 50 		 114 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 
213 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Dark Angel Gun Crasher Armor"			150 	 86 		 0 		 100 		 600 		 60 		 50 		 114 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 
214 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Holy Angel Gun Crusher Armor"			150 	 136 		 0 		 100 		 800 		 60 		 50 		 114 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 3 
215 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Soul Gun Crusher Armor"			150 	 181 		 0 		 100 		 900 		 60 		 50 		 114 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 
218 	 3 	 0 	 2 	 2 		 1 		 1 		 0 		 "Scaled Armor"					28 	 30 		 0 		 255 		 1 		 0 		 0 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 
219 	 3 	 0 	 2 	 3 		 1 		 1 		 0 		 "Frere Armor"					59 	 40 		 0 		 255 		 150 		 0 		 0 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 
220 	 3 	 0 	 2 	 3 		 1 		 1 		 0 		 "Frere Armor (Bound)"				50 	 55 		 0 		 100 		 0 		 50 		 50 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 1 
221 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Manticore Knight Armor"			150 	 339 		 0 		 100 		 1200 		 174 		 51 		 0 		 0 		 0 		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
222 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Manticore Wizard Armor"			150 	 307 		 0 		 100 		 1200 		 46 		 15 		 0 		 0 		 0 		4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
223 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Manticore Elf Armor"				150 	 319 		 0 		 100 		 1200 		 39 		 87 		 0 		 0 		 0 		0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
224 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Manticore Summoner Armor"			150 	 312 		 0 		 100 		 1200 		 38 		 13 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 
225 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Manticore Magic Armor"			150 	 82 		 0 		 100 		 1200 		 143 		 58 		 0 		 0 		 0 		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
226 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Manticore Lord Armor"				150 	 316 		 0 		 100 		 1200 		 65 		 17 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 
227 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Manticore Fighter Armor"			150 	 321 		 0 		 100 		 1200 		 81 		 0 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 
228 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Manticore Lancer Armor"			150 	 302 		 0 		 100 		 1200 		 65 		 65 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 	 0 
229 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Manticore Elf Armor"				150 	 245 		 0 		 100 		 1200 		 14 		 28 		 154 		 0 		 0 		0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
230 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Manticore Magic Armor"			150 	 335 		 0 		 100 		 1200 		 35 		 32 		 157 		 0 		 0 		0 	 0 	 0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
231 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Manticore Rune Wizard Armor"			150 	 312 		 0 		 100 		 1200 		 40 		 14 		 125 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 	 0 
232 	 3 	 0 	 2 	 2 		 1 		 1 		 1 		 "Manticore Slayer Armor"			150 	 334 		 0 		 100 		 1200 		 51 		 174 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 4 	 0 
233 	 3 	 0 	 2 	 3 		 1 		 1 		 1 		 "Manticore Knight Armor (Conviction)"		150 	 357 		 0 		 100 		 1200 		 0 		 22 		 107 		 0 		 0 		0 	 4 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
end

9 
//Type 	 Slot 	 Skill 	 Width 	 Height 	 HaveSerial 	 HaveOption 	 DropItem 	 Name 						Level 	 Defense 	 MagicDefense 	 Durability 	 ReqLevel 	 ReqStrength 	 ReqDexterity 	 ReqEnergy 	 ReqVitality 	 ReqLeadership 	DW 	 DK 	 FE 	 MG 	 DL 	 SU 	 RF 	 GL 	 RW 	 SL 	 GC
0 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Bronze Pants"					15 	 10 		 0 		 34 		 0 		 80 		 20 		 0 		 0 		 0 		0 	 1 	 0 	 1 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
1 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Dragon Pants"					55 	 26 		 0 		 68 		 0 		 120 		 30 		 0 		 0 		 0 		0 	 1 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
2 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Pad Pants"					8 	 5 		 0 		 28 		 0 		 30 		 0 		 0 		 0 		 0 		1 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
3 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Legendary Pants"				53 	 20 		 0 		 42 		 0 		 40 		 0 		 0 		 0 		 0 		1 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
4 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Bone Pants"					20 	 10 		 0 		 30 		 0 		 40 		 0 		 0 		 0 		 0 		1 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
5 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Leather Pants"				8 	 7 		 0 		 30 		 0 		 80 		 0 		 0 		 0 		 0 		0 	 1 	 0 	 1 	 1 	 0 	 1 	 0 	 0 	 0 	 0 
6 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Scale Pants"					25 	 14 		 0 		 40 		 0 		 110 		 0 		 0 		 0 		 0 		0 	 1 	 0 	 1 	 1 	 0 	 1 	 0 	 0 	 0 	 0 
7 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Sphinx Pants"					34 	 15 		 0 		 36 		 0 		 40 		 0 		 0 		 0 		 0 		1 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
8 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Brass Pants"					35 	 18 		 0 		 44 		 0 		 100 		 30 		 0 		 0 		 0 		0 	 1 	 0 	 1 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
9 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Plate Pants"					45 	 22 		 0 		 50 		 0 		 130 		 0 		 0 		 0 		 0 		0 	 1 	 0 	 1 	 0 	 0 	 1 	 0 	 0 	 0 	 0 
10 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Vine Pants"					8 	 6 		 0 		 22 		 0 		 30 		 60 		 0 		 0 		 0 		0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
11 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Silk Pants"					18 	 10 		 0 		 26 		 0 		 30 		 70 		 0 		 0 		 0 		0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
12 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Wind Pants"					30 	 14 		 0 		 32 		 0 		 30 		 80 		 0 		 0 		 0 		0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
13 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Spirit Pants"					42 	 18 		 0 		 38 		 0 		 40 		 80 		 0 		 0 		 0 		0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
14 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Guardian Pants"				54 	 25 		 0 		 45 		 0 		 40 		 80 		 0 		 0 		 0 		0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
15 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Storm Crow Pants"				74 	 34 		 0 		 80 		 0 		 150 		 70 		 0 		 0 		 0 		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
16 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Black Dragon Pants"				84 	 40 		 0 		 74 		 0 		 170 		 60 		 0 		 0 		 0 		0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
17 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Dark Phoenix Pants"				96 	 54 		 0 		 80 		 0 		 207 		 63 		 0 		 0 		 0 		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
18 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Grand Soul Pants"				86 	 30 		 0 		 67 		 0 		 59 		 20 		 0 		 0 		 0 		2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
19 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Holy Spirit Pants"				88 	 39 		 0 		 74 		 0 		 50 		 110 		 0 		 0 		 0 		0 	 0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
20 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Thunder Hawk Pants"				99 	 49 		 0 		 82 		 0 		 150 		 70 		 0 		 0 		 0 		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
21 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Great Dragon Pants"				113 	 65 		 0 		 86 		 0 		 200 		 58 		 0 		 0 		 0 		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
22 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Dark Soul Pants"				117 	 39 		 0 		 75 		 0 		 55 		 18 		 0 		 0 		 0 		2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
23 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Hurricane Pants"				122 	 61 		 0 		 90 		 0 		 162 		 66 		 0 		 0 		 0 		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
24 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Red Spirit Pants"				100 	 48 		 0 		 80 		 0 		 52 		 115 		 0 		 0 		 0 		0 	 0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
25 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Light Plate Pants"				50 	 21 		 0 		 42 		 0 		 70 		 20 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
26 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Adamantine Pants"				70 	 26 		 0 		 56 		 0 		 77 		 21 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
27 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Dark Steel Pants"				92 	 31 		 0 		 70 		 0 		 84 		 22 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
28 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Dark Master Pants"				110 	 39 		 0 		 78 		 0 		 80 		 21 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
29 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Dragon Knight Pants"				134 	 78 		 0 		 90 		 380 		 170 		 60 		 0 		 0 		 0 		0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
30 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Venom Mist Pants"				135 	 55 		 0 		 86 		 380 		 44 		 15 		 0 		 0 		 0 		2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
31 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Sylphid Ray Pants"				135 	 61 		 0 		 86 		 380 		 38 		 80 		 0 		 0 		 0 		0 	 0 	 2 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
32 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Volcano Pants"				135 	 74 		 0 		 95 		 380 		 145 		 60 		 0 		 0 		 0 		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
33 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Sunlight Pants"				140 	 52 		 0 		 82 		 380 		 62 		 16 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
34 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Ashcrow Pants"				69 	 33 		 0 		 72 		 0 		 160 		 50 		 0 		 0 		 0 		0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
35 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Eclipse Pants"				69 	 25 		 0 		 54 		 0 		 53 		 12 		 0 		 0 		 0 		1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
36 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Iris Pants"					69 	 32 		 0 		 59 		 0 		 50 		 70 		 0 		 0 		 0 		0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
37 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Valiant Pants"				101 	 41 		 0 		 81 		 0 		 155 		 50 		 0 		 0 		 0 		0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
38 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Glorious Pants"				101 	 35 		 0 		 74 		 0 		 80 		 21 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 	 0 
39 	 4 	 0 	 2 	 2 		 1 		 1 		 1 		 "Violent Wind Pants"				30 	 16 		 0 		 36 		 0 		 36 		 0 		 0 		 0 		 0 		0 	 0 	 0 	 0 	 0 	 1 	 0 	 0 	 0 	 0 	 0 
