//Index   OptionIndex   OptionValue   ItemMinIndex   ItemMaxIndex   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   Comment
6         111           5             6612           6612           *             *             *             8               //[Bound]Wings of Disillusion
1         84            5             6613           6613           *             1             *             *               //Wings of Fate
2         85            1             6613           6613           *             *             1             *               //Wings of Fate
2         81            4             6613           6613           *             *             1             16              //Wings of Fate
2         83            4             6613           6613           *             *             1             32              //Wings of Fate
9         97            7             6615           6615           *             *             *             *               //Ghost Horse
1         84            5             6616           6616           *             1             *             *               //Wings of Silence
2         85            1             6616           6616           *             *             1             *               //Wings of Silence
2         80            4             6616           6616           *             *             1             16              //Wings of Silence
2         83            4             6616           6616           *             *             1             32              //Wings of Silence
3         102           5             6616           6616           *             *             *             1               //Wings of Silence
4         109           5             6616           6616           *             *             *             2               //Wings of Silence
5         110           5             6616           6616           *             *             *             4               //Wings of Silence
6         111           5             6616           6616           *             *             *             8               //Wings of Silence
1         84            5             6617           6617           *             1             *             *               //[Bound]Wings of Silence
2         85            1             6617           6617           *             *             1             *               //[Bound]Wings of Silence
2         80            4             6617           6617           *             *             1             16              //[Bound]Wings of Silence
2         83            4             6617           6617           *             *             1             32              //[Bound]Wings of Silence
3         102           5             6617           6617           *             *             *             1               //[Bound]Wings of Silence
4         109           5             6617           6617           *             *             *             2               //[Bound]Wings of Silence
5         110           5             6617           6617           *             *             *             4               //[Bound]Wings of Silence
6         111           5             6617           6617           *             *             *             8               //[Bound]Wings of Silence
1         84            5             6618           6618           *             1             *             *               //Wings of Condemnation
2         85            1             6618           6618           *             *             1             *               //Wings of Condemnation
2         80            4             6618           6618           *             *             1             16              //Wings of Condemnation
2         83            4             6618           6618           *             *             1             32              //Wings of Condemnation
1         84            5             6633           6633           *             1             *             *               //Wings of Hit
2         85            1             6633           6633           *             *             1             *               //Wings of Hit
2         80            4             6633           6633           *             *             1             16              //Wings of Hit
2         83            4             6633           6633           *             *             1             32              //Wings of Hit
3         102           5             6633           6633           *             *             *             1               //Wings of Hit
4         109           5             6633           6633           *             *             *             2               //Wings of Hit
5         110           5             6633           6633           *             *             *             4               //Wings of Hit
6         111           5             6633           6633           *             *             *             8               //Wings of Hit
1         84            5             6640           6640           *             1             *             *               //[Bound]Wings of Hit
2         85            1             6640           6640           *             *             1             *               //[Bound]Wings of Hit
2         80            4             6640           6640           *             *             1             16              //[Bound]Wings of Hit
2         83            4             6640           6640           *             *             1             32              //[Bound]Wings of Hit
3         102           5             6640           6640           *             *             *             1               //[Bound]Wings of Hit
4         109           5             6640           6640           *             *             *             2               //[Bound]Wings of Hit
5         110           5             6640           6640           *             *             *             4               //[Bound]Wings of Hit
6         111           5             6640           6640           *             *             *             8               //[Bound]Wings of Hit
9         119           50            6656           6656           *             *             *             *               //Angel
0         49            0             6659           6659           *             *             *             *               //Dinorant
3         112           0             6659           6659           *             *             *             1               //Dinorant
4         103           50            6659           6659           *             *             *             2               //Dinorant
5         97            5             6659           6659           *             *             *             4               //Dinorant
0         62            0             6660           6660           *             *             *             *               //Dark Horse
2         85            1             6664           6664           *             *             1             *               //Ring of Ice
3         86            30            6664           6664           *             *             *             1               //Ring of Ice
4         87            10            6664           6664           *             *             *             2               //Ring of Ice
5         88            5             6664           6664           *             *             *             4               //Ring of Ice
6         89            4             6664           6664           *             *             *             8               //Ring of Ice
7         90            4             6664           6664           *             *             *             16              //Ring of Ice
8         91            4             6664           6664           *             *             *             32              //Ring of Ice
2         85            1             6665           6665           *             *             1             *               //Ring of Poison
3         86            30            6665           6665           *             *             *             1               //Ring of Poison
4         87            10            6665           6665           *             *             *             2               //Ring of Poison
5         88            5             6665           6665           *             *             *             4               //Ring of Poison
6         89            4             6665           6665           *             *             *             8               //Ring of Poison
7         90            4             6665           6665           *             *             *             16              //Ring of Poison
8         91            4             6665           6665           *             *             *             32              //Ring of Poison
2         85            1             6668           6668           *             *             1             *               //Pendant of Lighting
3         99            12            6668           6668           *             *             *             1               //Pendant of Lighting
4         98            12            6668           6668           *             *             *             2               //Pendant of Lighting
5         97            7             6668           6668           *             *             *             4               //Pendant of Lighting
6         96            2             6668           6668           *             *             *             8               //Pendant of Lighting
7         95            20            6668           6668           *             *             *             16              //Pendant of Lighting
8         92            10            6668           6668           *             *             *             32              //Pendant of Lighting
2         85            1             6669           6669           *             *             1             *               //Pendant of Fire
3         99            12            6669           6669           *             *             *             1               //Pendant of Fire
4         98            12            6669           6669           *             *             *             2               //Pendant of Fire
5         97            7             6669           6669           *             *             *             4               //Pendant of Fire
6         94            2             6669           6669           *             *             *             8               //Pendant of Fire
7         93            20            6669           6669           *             *             *             16              //Pendant of Fire
8         92            10            6669           6669           *             *             *             32              //Pendant of Fire
9         125           10            6676           6676           *             *             *             *               //Wizard Ring
10        97            10            6676           6676           *             *             *             *               //Wizard Ring
2         85            1             6677           6677           *             *             1             *               //Ring of Fire
3         86            30            6677           6677           *             *             *             1               //Ring of Fire
4         87            10            6677           6677           *             *             *             2               //Ring of Fire
5         88            5             6677           6677           *             *             *             4               //Ring of Fire
6         89            4             6677           6677           *             *             *             8               //Ring of Fire
7         90            4             6677           6677           *             *             *             16              //Ring of Fire
8         91            4             6677           6677           *             *             *             32              //Ring of Fire
2         85            1             6678           6678           *             *             1             *               //Ring of Earth
3         86            30            6678           6678           *             *             *             1               //Ring of Earth
4         87            10            6678           6678           *             *             *             2               //Ring of Earth
5         88            5             6678           6678           *             *             *             4               //Ring of Earth
6         89            4             6678           6678           *             *             *             8               //Ring of Earth
7         90            4             6678           6678           *             *             *             16              //Ring of Earth
8         91            4             6678           6678           *             *             *             32              //Ring of Earth
2         85            1             6679           6679           *             *             1             *               //Ring of Wind
3         86            30            6679           6679           *             *             *             1               //Ring of Wind
4         87            10            6679           6679           *             *             *             2               //Ring of Wind
5         88            5             6679           6679           *             *             *             4               //Ring of Wind
6         89            4             6679           6679           *             *             *             8               //Ring of Wind
7         90            4             6679           6679           *             *             *             16              //Ring of Wind
8         91            4             6679           6679           *             *             *             32              //Ring of Wind
2         90            1             6680           6680           *             *             1             *               //Ring of Magic
3         86            30            6680           6680           *             *             *             1               //Ring of Magic
4         87            10            6680           6680           *             *             *             2               //Ring of Magic
5         88            5             6680           6680           *             *             *             4               //Ring of Magic
6         89            4             6680           6680           *             *             *             8               //Ring of Magic
7         90            4             6680           6680           *             *             *             16              //Ring of Magic
8         91            4             6680           6680           *             *             *             32              //Ring of Magic
2         85            1             6681           6681           *             *             1             *               //Pendant of Ice
3         99            12            6681           6681           *             *             *             1               //Pendant of Ice
4         98            12            6681           6681           *             *             *             2               //Pendant of Ice
5         97            7             6681           6681           *             *             *             4               //Pendant of Ice
6         96            2             6681           6681           *             *             *             8               //Pendant of Ice
7         95            20            6681           6681           *             *             *             16              //Pendant of Ice
8         92            10            6681           6681           *             *             *             32              //Pendant of Ice
2         85            1             6682           6682           *             *             1             *               //Pendant of Wind
3         99            12            6682           6682           *             *             *             1               //Pendant of Wind
4         98            12            6682           6682           *             *             *             2               //Pendant of Wind
5         97            7             6682           6682           *             *             *             4               //Pendant of Wind
6         94            2             6682           6682           *             *             *             8               //Pendant of Wind
7         93            20            6682           6682           *             *             *             16              //Pendant of Wind
8         92            10            6682           6682           *             *             *             32              //Pendant of Wind
2         85            1             6683           6683           *             *             1             *               //Pendant of Water
3         99            12            6683           6683           *             *             *             1               //Pendant of Water
4         98            12            6683           6683           *             *             *             2               //Pendant of Water
5         97            7             6683           6683           *             *             *             4               //Pendant of Water
6         96            2             6683           6683           *             *             *             8               //Pendant of Water
7         95            20            6683           6683           *             *             *             16              //Pendant of Water
8         92            10            6683           6683           *             *             *             32              //Pendant of Water
2         104           1             6684           6684           *             *             1             *               //Pendant of Ability
3         99            12            6684           6684           *             *             *             1               //Pendant of Ability
4         98            12            6684           6684           *             *             *             2               //Pendant of Ability
5         97            7             6684           6684           *             *             *             4               //Pendant of Ability
6         94            2             6684           6684           *             *             *             8               //Pendant of Ability
7         93            20            6684           6684           *             *             *             16              //Pendant of Ability
8         92            10            6684           6684           *             *             *             32              //Pendant of Ability
1         84            5             6686           6686           *             1             *             *               //Cape of Lord
2         80            4             6686           6686           *             *             1             *               //Cape of Lord
3         100           5             6686           6686           *             *             *             1               //Cape of Lord
4         101           5             6686           6686           *             *             *             2               //Cape of Lord
5         102           3             6686           6686           *             *             *             4               //Cape of Lord
6         105           5             6686           6686           *             *             *             8               //Cape of Lord
0         76            0             6693           6693           *             *             *             *               //Fenrir
3         106           0             6693           6693           *             *             *             1               //Fenrir
4         107           0             6693           6693           *             *             *             2               //Fenrir
5         108           0             6693           6693           *             *             *             4               //Fenrir
9         93            12            6693           6693           *             *             *             4               //Fenrir
10        95            25            6693           6693           *             *             *             4               //Fenrir
11        114           25            6693           6693           *             *             *             4               //Fenrir
12        121           2             6693           6693           *             *             *             4               //Fenrir
13        122           2             6693           6693           *             *             *             4               //Fenrir
9         127           10            6695           6695           *             *             *             *               //Elite Transformation Ring
10        121           1             6695           6695           *             *             *             *               //Elite Transformation Ring
9         123           20            6697           6697           *             *             *             *               //Christmas Ring
9         97            10            6720           6720           *             *             *             *               //Demon
9         119           50            6721           6721           *             *             *             *               //Spirit of Guardian
9         123           30            6732           6732           *             *             *             *               //Panda Ring
10        86            50            6732           6732           *             *             *             *               //Panda Ring
11        118           50            6732           6732           *             *             *             *               //Panda Ring
9         123           30            6733           6733           *             *             *             *               //Brown Panda Ring
10        86            50            6733           6733           *             *             *             *               //Brown Panda Ring
11        117           30            6733           6733           *             *             *             *               //Brown Panda Ring
12        118           50            6733           6733           *             *             *             *               //Brown Panda Ring
9         123           30            6734           6734           *             *             *             *               //Pink Panda Ring
10        86            50            6734           6734           *             *             *             *               //Pink Panda Ring
11        117           50            6734           6734           *             *             *             *               //Pink Panda Ring
12        118           50            6734           6734           *             *             *             *               //Pink Panda Ring
9         83            50            6736           6736           *             *             *             *               //Panda
10        117           50            6736           6736           *             *             *             *               //Panda
9         83            50            6762           6762           *             *             *             *               //Unicorn
10        86            50            6762           6762           *             *             *             *               //Unicorn
9         125           15            6763           6763           *             *             *             *               //Lethal Wizard Ring
10        97            10            6763           6763           *             *             *             *               //Lethal Wizard Ring
2         85            1             6765           6771           *             *             1             *               //Cash Shop Jewelry
3         90            4             6765           6765           *             *             *             *               //Ring of Sapphire
3         91            4             6766           6766           *             *             *             *               //Ring of Ruby
3         86            30            6767           6767           *             *             *             *               //Ring of Topaz
3         89            4             6768           6768           *             *             *             *               //Ring of Amethyst
3         92            10            6769           6769           *             *             *             *               //Pendant of Ruby
3         97            7             6770           6770           *             *             *             *               //Pendant of Emerald
3         99            12            6771           6771           *             *             *             *               //Pendant of Sapphire
9         123           40            6778           6778           *             *             *             *               //Skeleton Ring
10        118           50            6778           6778           *             *             *             *               //Skeleton Ring
9         97            10            6779           6779           *             *             *             *               //Skeleton
10        117           30            6779           6779           *             *             *             *               //Skeleton
9         123           30            6819           6819           *             *             *             *               //Robot Knight Ring
10        118           50            6819           6819           *             *             *             *               //Robot Knight Ring
11        83            10            6819           6819           *             *             *             *               //Robot Knight Ring
9         123           30            6820           6820           *             *             *             *               //Mini Robot Ring
10        97            7             6820           6820           *             *             *             *               //Mini Robot Ring
11        118           50            6820           6820           *             *             *             *               //Mini Robot Ring
9         123           40            6821           6821           *             *             *             *               //Great Heavenly Mage Ring
10        118           50            6821           6821           *             *             *             *               //Great Heavenly Mage Ring
9         123           30            6822           6822           *             *             *             *               //Brown Panda Ring
10        86            50            6822           6822           *             *             *             *               //Brown Panda Ring
11        117           30            6822           6822           *             *             *             *               //Brown Panda Ring
12        118           50            6822           6822           *             *             *             *               //Brown Panda Ring
3         86            30            6825           6825           *             *             *             1               //Decoration Ring
4         87            10            6825           6825           *             *             *             2               //Decoration Ring
5         88            5             6825           6825           *             *             *             4               //Decoration Ring
6         89            4             6825           6825           *             *             *             8               //Decoration Ring
7         90            4             6825           6825           *             *             *             16              //Decoration Ring
8         91            4             6825           6825           *             *             *             32              //Decoration Ring
9         94            10            6825           6825           *             *             *             *               //Decoration Ring
10        96            15            6825           6825           *             *             *             *               //Decoration Ring
11        115           15            6825           6825           *             *             *             *               //Decoration Ring
12        97            10            6825           6825           *             *             *             *               //Decoration Ring
3         86            30            6826           6826           *             *             *             1               //Blessed Decoration Ring
4         87            10            6826           6826           *             *             *             2               //Blessed Decoration Ring
5         88            5             6826           6826           *             *             *             4               //Blessed Decoration Ring
6         89            4             6826           6826           *             *             *             8               //Blessed Decoration Ring
7         90            4             6826           6826           *             *             *             16              //Blessed Decoration Ring
8         91            4             6826           6826           *             *             *             32              //Blessed Decoration Ring
9         94            15            6826           6826           *             *             *             *               //Blessed Decoration Ring
10        96            15            6826           6826           *             *             *             *               //Blessed Decoration Ring
11        115           15            6826           6826           *             *             *             *               //Blessed Decoration Ring
12        97            10            6826           6826           *             *             *             *               //Blessed Decoration Ring
3         99            12            6827           6827           *             *             *             1               //Necklace of Agony
4         98            12            6827           6827           *             *             *             2               //Necklace of Agony
5         97            7             6827           6827           *             *             *             4               //Necklace of Agony
6         94            2             6827           6827           *             *             *             8               //Necklace of Agony
7         93            20            6827           6827           *             *             *             16              //Necklace of Agony
8         92            10            6827           6827           *             *             *             32              //Necklace of Agony
3         99            12            6828           6828           *             *             *             1               //Solid Symbol
4         98            12            6828           6828           *             *             *             2               //Solid Symbol
5         97            7             6828           6828           *             *             *             4               //Solid Symbol
6         94            2             6828           6828           *             *             *             8               //Solid Symbol
7         93            20            6828           6828           *             *             *             16              //Solid Symbol
8         92            10            6828           6828           *             *             *             32              //Solid Symbol
3         86            30            6829           6829           *             *             *             1               //Ring of Ultimatum
4         87            10            6829           6829           *             *             *             2               //Ring of Ultimatum
5         88            5             6829           6829           *             *             *             4               //Ring of Ultimatum
6         89            4             6829           6829           *             *             *             8               //Ring of Ultimatum
7         90            4             6829           6829           *             *             *             16              //Ring of Ultimatum
8         91            4             6829           6829           *             *             *             32              //Ring of Ultimatum
3         86            30            6832           6832           *             *             *             1               //Protection Ring
4         87            10            6832           6832           *             *             *             2               //Protection Ring
5         88            5             6832           6832           *             *             *             4               //Protection Ring
6         89            4             6832           6832           *             *             *             8               //Protection Ring
7         90            4             6832           6832           *             *             *             16              //Protection Ring
8         91            4             6832           6832           *             *             *             32              //Protection Ring
9         123           70            6924           6924           *             *             *             *               //Dark Transformation Ring
10        97            10            6924           6924           *             *             *             *               //Dark Transformation Ring
11        83            50            6924           6924           *             *             *             *               //Dark Transformation Ring
12        119           50            6924           6924           *             *             *             *               //Dark Transformation Ring
13        118           50            6924           6924           *             *             *             *               //Dark Transformation Ring
2         85            1             10279          10279          *             *             1             *               //Jade Necklace
3         99            12            10279          10279          *             *             *             1               //Jade Necklace
4         98            12            10279          10279          *             *             *             2               //Jade Necklace
5         97            7             10279          10279          *             *             *             4               //Jade Necklace
6         94            2             10279          10279          *             *             *             8               //Jade Necklace
7         93            20            10279          10279          *             *             *             16              //Jade Necklace
8         92            10            10279          10279          *             *             *             32              //Jade Necklace
2         85            1             10280          10280          *             *             1             *               //Lapis Lazuli Necklace
3         99            12            10280          10280          *             *             *             1               //Lapis Lazuli Necklace
4         98            12            10280          10280          *             *             *             2               //Lapis Lazuli Necklace
5         97            7             10280          10280          *             *             *             4               //Lapis Lazuli Necklace
6         96            2             10280          10280          *             *             *             8               //Lapis Lazuli Necklace
7         95            20            10280          10280          *             *             *             16              //Lapis Lazuli Necklace
8         92            10            10280          10280          *             *             *             32              //Lapis Lazuli Necklace
2         85            1             10281          10281          *             *             1             *               //Battle Jade Necklace
3         99            12            10281          10281          *             *             *             1               //Battle Jade Necklace
4         98            12            10281          10281          *             *             *             2               //Battle Jade Necklace
5         97            7             10281          10281          *             *             *             4               //Battle Jade Necklace
6         94            2             10281          10281          *             *             *             8               //Battle Jade Necklace
7         93            20            10281          10281          *             *             *             16              //Battle Jade Necklace
8         92            10            10281          10281          *             *             *             32              //Battle Jade Necklace
2         85            1             10282          10282          *             *             1             *               //Battle Lapis Lazuli Necklace
3         99            12            10282          10282          *             *             *             1               //Battle Lapis Lazuli Necklace
4         98            12            10282          10282          *             *             *             2               //Battle Lapis Lazuli Necklace
5         97            7             10282          10282          *             *             *             4               //Battle Lapis Lazuli Necklace
6         96            2             10282          10282          *             *             *             8               //Battle Lapis Lazuli Necklace
7         95            20            10282          10282          *             *             *             16              //Battle Lapis Lazuli Necklace
8         92            10            10282          10282          *             *             *             32              //Battle Lapis Lazuli Necklace
end
